PANTONENAME,UNIQUECODE,R,G,B
2251 C,10783,0,172,110
2252 C,10784,0,167,76
2253 C,10785,189,235,202
2254 C,10786,170,222,178
2255 C,10787,134,210,150
2256 C,10788,83,195,114
2257 C,10789,0,173,80
2258 C,10790,0,133,35
2259 C,10791,0,113,36
226 C,10792,204,5,110
2260 C,10793,179,206,173
2261 C,10794,153,185,146
2262 C,10795,138,172,137
2263 C,10796,115,151,111
2264 C,10797,106,151,97
2265 C,10798,90,126,81
2266 C,10799,51,86,39
2267 C,10800,152,224,152
2268 C,10801,117,217,125
2269 C,10802,124,203,108
227 C,10803,169,3,96
2270 C,10804,38,200,77
2271 C,10805,0,186,51
2272 C,10806,0,153,24
2273 C,10807,30,114,39
2274 C,10808,205,221,178
2275 C,10809,195,221,150
2276 C,10810,137,168,78
2277 C,10811,86,150,31
2278 C,10812,81,129,34
2279 C,10813,92,126,42
228 C,10814,138,16,89
2280 C,10815,75,105,32
2281 C,10816,216,234,158
2282 C,10817,197,232,150
2283 C,10818,166,226,98
2284 C,10819,180,215,128
2285 C,10820,146,217,75
2286 C,10821,121,202,6
2287 C,10822,91,197,7
2288 C,10823,201,228,123
2289 C,10824,197,218,123
229 C,10825,102,33,70
2290 C,10826,170,220,32
2291 C,10827,166,214,15
2292 C,10828,146,201,19
2293 C,10829,139,196,4
2294 C,10830,118,170,1
2295 C,10831,224,236,138
2296 C,10832,213,233,102
2297 C,10833,190,222,22
2298 C,10834,180,220,87
2299 C,10835,163,211,53
230 C,10836,244,166,215
2300 C,10837,167,195,65
2301 C,10838,144,174,27
2302 C,10839,175,185,101
2303 C,10840,159,179,87
2304 C,10841,159,173,78
2305 C,10842,157,167,8
2306 C,10843,128,141,37
2307 C,10844,105,111,20
2308 C,10845,93,85,30
2309 C,10846,230,205,180
231 C,10847,241,121,201
2310 C,10848,215,191,168
2311 C,10849,202,167,134
2312 C,10850,181,155,130
2313 C,10851,194,148,104
2314 C,10852,169,117,69
2315 C,10853,145,74,18
2316 C,10854,186,154,123
